series,n,m,trial,ms,theo_x,normalized_theory_ms,p_intra,p_inter
p0.010,10000,6855,1,32.883,168950.287,5.622,0.010000,0.000100000
p0.010,10000,6855,2,35.347,168950.287,5.622,0.010000,0.000100000
p0.010,10000,6855,3,35.753,168950.287,5.622,0.010000,0.000100000
p0.010,12000,9996,1,44.591,226592.992,7.540,0.010000,0.000100000
p0.010,12000,9996,2,49.257,226592.992,7.540,0.010000,0.000100000
p0.010,12000,9996,3,46.698,226592.992,7.540,0.010000,0.000100000
p0.010,14000,13651,1,55.784,291280.915,9.693,0.010000,0.000100000
p0.010,14000,13651,2,53.707,291280.915,9.693,0.010000,0.000100000
p0.010,14000,13651,3,55.903,291280.915,9.693,0.010000,0.000100000
p0.010,16000,17847,1,57.833,381191.603,12.685,0.010000,0.000100000
p0.010,16000,17847,2,57.146,381191.603,12.685,0.010000,0.000100000
p0.010,16000,17847,3,54.132,381191.603,12.685,0.010000,0.000100000
p0.010,19000,25186,1,64.764,510887.055,17.000,0.010000,0.000100000
p0.010,19000,25186,2,73.329,510887.055,17.000,0.010000,0.000100000
p0.010,19000,25186,3,76.659,510887.055,17.000,0.010000,0.000100000
p0.010,22000,34048,1,89.388,662556.615,22.047,0.010000,0.000100000
p0.010,22000,34048,2,90.601,662556.615,22.047,0.010000,0.000100000
p0.010,22000,34048,3,90.021,662556.615,22.047,0.010000,0.000100000
p0.010,26000,47355,1,142.680,935136.060,31.118,0.010000,0.000100000
p0.010,26000,47355,2,117.901,935136.060,31.118,0.010000,0.000100000
p0.010,26000,47355,3,134.182,935136.060,31.118,0.010000,0.000100000
p0.010,31000,66944,1,190.615,1280687.626,42.616,0.010000,0.000100000
p0.010,31000,66944,2,168.829,1280687.626,42.616,0.010000,0.000100000
p0.010,31000,66944,3,170.883,1280687.626,42.616,0.010000,0.000100000
p0.010,37000,95444,1,215.912,1870355.152,62.238,0.010000,0.000100000
p0.010,37000,95444,2,268.993,1870355.152,62.238,0.010000,0.000100000
p0.010,37000,95444,3,242.674,1870355.152,62.238,0.010000,0.000100000
p0.010,43000,129467,1,265.009,2616844.730,87.079,0.010000,0.000100000
p0.010,43000,129467,2,283.592,2616844.730,87.079,0.010000,0.000100000
p0.010,43000,129467,3,254.891,2616844.730,87.079,0.010000,0.000100000
p0.010,51000,181666,1,333.548,3793663.932,126.239,0.010000,0.000100000
p0.010,51000,181666,2,349.489,3793663.932,126.239,0.010000,0.000100000
p0.010,51000,181666,3,410.205,3793663.932,126.239,0.010000,0.000100000
p0.010,59000,242699,1,503.184,5255843.829,174.895,0.010000,0.000100000
p0.010,59000,242699,2,381.119,5255843.829,174.895,0.010000,0.000100000
p0.010,59000,242699,3,478.618,5255843.829,174.895,0.010000,0.000100000
p0.010,70000,340953,1,518.918,7994224.620,266.018,0.010000,0.000100000
p0.010,70000,340953,2,594.535,7994224.620,266.018,0.010000,0.000100000
p0.010,70000,340953,3,581.086,7994224.620,266.018,0.010000,0.000100000
p0.010,82000,468721,1,739.602,11855770.726,394.516,0.010000,0.000100000
p0.010,82000,468721,2,671.713,11855770.726,394.516,0.010000,0.000100000
p0.010,82000,468721,3,737.615,11855770.726,394.516,0.010000,0.000100000
p0.010,97000,657203,1,926.296,18518155.499,616.215,0.010000,0.000100000
p0.010,97000,657203,2,954.613,18518155.499,616.215,0.010000,0.000100000
p0.010,97000,657203,3,1049.569,18518155.499,616.215,0.010000,0.000100000
p0.010,114000,905961,1,1377.284,27277715.688,907.700,0.010000,0.000100000
p0.010,114000,905961,2,1347.628,27277715.688,907.700,0.010000,0.000100000
p0.010,114000,905961,3,1253.559,27277715.688,907.700,0.010000,0.000100000
p0.010,134000,1254092,1,1900.711,42723184.084,1421.667,0.010000,0.000100000
p0.010,134000,1254092,2,1952.478,42723184.084,1421.667,0.010000,0.000100000
p0.010,134000,1254092,3,1959.497,42723184.084,1421.667,0.010000,0.000100000
p0.010,157000,1721008,1,2679.850,65493689.748,2179.384,0.010000,0.000100000
p0.010,157000,1721008,2,2582.330,65493689.748,2179.384,0.010000,0.000100000
p0.010,157000,1721008,3,2514.934,65493689.748,2179.384,0.010000,0.000100000
p0.010,185000,2387648,1,4411.791,102830800.776,3421.823,0.010000,0.000100000
p0.010,185000,2387648,2,4158.479,102830800.776,3421.823,0.010000,0.000100000
p0.010,185000,2387648,3,4728.596,102830800.776,3421.823,0.010000,0.000100000
p0.010,218000,3318758,1,7240.039,162950002.734,5422.364,0.010000,0.000100000
p0.010,218000,3318758,2,7185.162,162950002.734,5422.364,0.010000,0.000100000
p0.010,218000,3318758,3,7265.966,162950002.734,5422.364,0.010000,0.000100000
p0.010,256000,4576568,1,10987.979,252395500.186,8398.775,0.010000,0.000100000
p0.010,256000,4576568,2,10888.895,252395500.186,8398.775,0.010000,0.000100000
p0.010,256000,4576568,3,10992.033,252395500.186,8398.775,0.010000,0.000100000
p0.010,301000,6321401,1,14079.826,405932149.192,13507.898,0.010000,0.000100000
p0.010,301000,6321401,2,16659.217,405932149.192,13507.898,0.010000,0.000100000
p0.010,301000,6321401,3,16325.723,405932149.192,13507.898,0.010000,0.000100000
p0.010,354000,8746503,1,25978.646,649814284.806,21623.380,0.010000,0.000100000
p0.010,354000,8746503,2,26495.244,649814284.806,21623.380,0.010000,0.000100000
p0.010,354000,8746503,3,25287.206,649814284.806,21623.380,0.010000,0.000100000
p0.010,416000,12073015,1,32732.342,1030845457.971,34302.668,0.010000,0.000100000
p0.010,416000,12073015,2,28855.088,1030845457.971,34302.668,0.010000,0.000100000
p0.010,416000,12073015,3,29107.222,1030845457.971,34302.668,0.010000,0.000100000
p0.010,489000,16686318,1,46434.755,1660022036.511,55239.303,0.010000,0.000100000
p0.010,489000,16686318,2,50506.399,1660022036.511,55239.303,0.010000,0.000100000
p0.010,489000,16686318,3,45908.078,1660022036.511,55239.303,0.010000,0.000100000
p0.010,575000,23083981,1,67075.956,2691418413.960,89560.303,0.010000,0.000100000
p0.010,575000,23083981,2,72917.385,2691418413.960,89560.303,0.010000,0.000100000
p0.010,575000,23083981,3,77338.323,2691418413.960,89560.303,0.010000,0.000100000
p0.010,676000,31898369,1,130134.315,4328877665.154,144048.800,0.010000,0.000100000
p0.010,676000,31898369,2,148812.790,4328877665.154,144048.800,0.010000,0.000100000
p0.010,676000,31898369,3,136450.553,4328877665.154,144048.800,0.010000,0.000100000
p0.010,795000,44104536,1,232507.154,7005167189.025,233105.670,0.010000,0.000100000
p0.010,795000,44104536,2,173564.025,7005167189.025,233105.670,0.010000,0.000100000
p0.010,795000,44104536,3,202268.941,7005167189.025,233105.670,0.010000,0.000100000
p0.010,935000,61021179,1,389899.582,11408456214.779,379630.602,0.010000,0.000100000
p0.010,935000,61021179,2,392860.546,11408456214.779,379630.602,0.010000,0.000100000
p0.010,935000,61021179,3,349062.020,11408456214.779,379630.602,0.010000,0.000100000
p0.010,1100000,84452506,1,576853.282,18502869304.633,615706.040,0.010000,0.000100000
p0.010,1100000,84452506,2,674198.550,18502869304.633,615706.040,0.010000,0.000100000
p0.010,1100000,84452506,3,648210.917,18502869304.633,615706.040,0.010000,0.000100000
