series,n,m,trial,ms_lrmc,ms_charikar,ratio_char_over_lrmc,p_intra,p_inter
p0.010,10000,6855,1,31.992,13.314,0.4162,0.010000,0.000100000
p0.010,10000,6855,2,31.391,5.962,0.1899,0.010000,0.000100000
p0.010,10000,6855,3,32.466,3.270,0.1007,0.010000,0.000100000
p0.010,12000,9996,1,43.876,4.399,0.1003,0.010000,0.000100000
p0.010,12000,9996,2,45.240,3.439,0.0760,0.010000,0.000100000
p0.010,12000,9996,3,47.128,3.028,0.0643,0.010000,0.000100000
p0.010,14000,13651,1,56.129,8.664,0.1544,0.010000,0.000100000
p0.010,14000,13651,2,52.710,4.570,0.0867,0.010000,0.000100000
p0.010,14000,13651,3,53.127,4.179,0.0787,0.010000,0.000100000
p0.010,16000,17847,1,55.469,5.666,0.1022,0.010000,0.000100000
p0.010,16000,17847,2,59.261,5.577,0.0941,0.010000,0.000100000
p0.010,16000,17847,3,52.821,5.330,0.1009,0.010000,0.000100000
p0.010,19000,25186,1,63.495,7.508,0.1182,0.010000,0.000100000
p0.010,19000,25186,2,70.504,7.240,0.1027,0.010000,0.000100000
p0.010,19000,25186,3,62.448,6.297,0.1008,0.010000,0.000100000
p0.010,22000,34048,1,90.847,8.440,0.0929,0.010000,0.000100000
p0.010,22000,34048,2,76.658,10.948,0.1428,0.010000,0.000100000
p0.010,22000,34048,3,80.600,9.722,0.1206,0.010000,0.000100000
p0.010,26000,47355,1,141.174,12.880,0.0912,0.010000,0.000100000
p0.010,26000,47355,2,119.388,13.316,0.1115,0.010000,0.000100000
p0.010,26000,47355,3,118.538,13.578,0.1145,0.010000,0.000100000
p0.010,31000,66944,1,186.135,17.147,0.0921,0.010000,0.000100000
p0.010,31000,66944,2,170.393,16.096,0.0945,0.010000,0.000100000
p0.010,31000,66944,3,179.323,15.829,0.0883,0.010000,0.000100000
p0.010,36000,90395,1,202.701,24.991,0.1233,0.010000,0.000100000
p0.010,36000,90395,2,251.185,24.376,0.0970,0.010000,0.000100000
p0.010,36000,90395,3,203.004,24.936,0.1228,0.010000,0.000100000
p0.010,42000,123740,1,261.486,32.913,0.1259,0.010000,0.000100000
p0.010,42000,123740,2,236.691,35.356,0.1494,0.010000,0.000100000
p0.010,42000,123740,3,364.157,32.413,0.0890,0.010000,0.000100000
p0.010,50000,174903,1,430.400,44.907,0.1043,0.010000,0.000100000
p0.010,50000,174903,2,458.256,47.685,0.1041,0.010000,0.000100000
p0.010,50000,174903,3,332.602,42.574,0.1280,0.010000,0.000100000
p0.010,58000,234422,1,606.597,65.650,0.1082,0.010000,0.000100000
p0.010,58000,234422,2,502.739,58.246,0.1159,0.010000,0.000100000
p0.010,58000,234422,3,477.328,59.802,0.1253,0.010000,0.000100000
p0.010,69000,331231,1,559.928,81.968,0.1464,0.010000,0.000100000
p0.010,69000,331231,2,514.083,86.528,0.1683,0.010000,0.000100000
p0.010,69000,331231,3,601.672,95.934,0.1594,0.010000,0.000100000
p0.010,81000,457271,1,675.088,119.821,0.1775,0.010000,0.000100000
p0.010,81000,457271,2,641.671,114.564,0.1785,0.010000,0.000100000
p0.010,81000,457271,3,651.985,119.556,0.1834,0.010000,0.000100000
p0.010,95000,629660,1,928.485,162.729,0.1753,0.010000,0.000100000
p0.010,95000,629660,2,869.368,161.968,0.1863,0.010000,0.000100000
p0.010,95000,629660,3,876.931,165.358,0.1886,0.010000,0.000100000
p0.010,111000,858910,1,1290.964,232.245,0.1799,0.010000,0.000100000
p0.010,111000,858910,2,1210.956,223.658,0.1847,0.010000,0.000100000
p0.010,111000,858910,3,1233.032,235.343,0.1909,0.010000,0.000100000
p0.010,130000,1180808,1,1835.596,302.229,0.1646,0.010000,0.000100000
p0.010,130000,1180808,2,1728.640,301.218,0.1743,0.010000,0.000100000
p0.010,130000,1180808,3,1894.693,323.953,0.1710,0.010000,0.000100000
p0.010,153000,1635104,1,2434.417,481.471,0.1978,0.010000,0.000100000
p0.010,153000,1635104,2,2835.456,565.099,0.1993,0.010000,0.000100000
p0.010,153000,1635104,3,2509.212,462.239,0.1842,0.010000,0.000100000
p0.010,180000,2259463,1,3470.979,753.372,0.2170,0.010000,0.000100000
p0.010,180000,2259463,2,3840.293,888.440,0.2313,0.010000,0.000100000
p0.010,180000,2259463,3,4039.016,774.241,0.1917,0.010000,0.000100000
p0.010,211000,3107369,1,5367.980,1196.096,0.2228,0.010000,0.000100000
p0.010,211000,3107369,2,5169.248,1260.174,0.2438,0.010000,0.000100000
p0.010,211000,3107369,3,5381.383,1125.088,0.2091,0.010000,0.000100000
p0.010,248000,4294862,1,8809.494,1714.655,0.1946,0.010000,0.000100000
p0.010,248000,4294862,2,10826.117,1550.755,0.1432,0.010000,0.000100000
p0.010,248000,4294862,3,9121.021,1334.802,0.1463,0.010000,0.000100000
p0.010,291000,5909593,1,11920.301,1879.288,0.1577,0.010000,0.000100000
p0.010,291000,5909593,2,12681.672,1886.153,0.1487,0.010000,0.000100000
p0.010,291000,5909593,3,13008.623,1904.175,0.1464,0.010000,0.000100000
p0.010,341000,8116027,1,20886.926,2635.949,0.1262,0.010000,0.000100000
p0.010,341000,8116027,2,23657.120,2641.528,0.1117,0.010000,0.000100000
p0.010,341000,8116027,3,24323.864,2660.392,0.1094,0.010000,0.000100000
p0.010,401000,11224438,1,26442.424,3698.956,0.1399,0.010000,0.000100000
p0.010,401000,11224438,2,27944.718,3785.824,0.1355,0.010000,0.000100000
p0.010,401000,11224438,3,35573.425,4131.695,0.1161,0.010000,0.000100000
p0.010,471000,15478323,1,46818.609,5235.147,0.1118,0.010000,0.000100000
p0.010,471000,15478323,2,43437.508,5320.091,0.1225,0.010000,0.000100000
p0.010,471000,15478323,3,44888.857,5216.460,0.1162,0.010000,0.000100000
p0.010,553000,21347547,1,70903.340,7237.961,0.1021,0.010000,0.000100000
p0.010,553000,21347547,2,86748.593,7565.931,0.0872,0.010000,0.000100000
p0.010,553000,21347547,3,73878.376,7251.312,0.0982,0.010000,0.000100000
p0.010,649000,29406812,1,110734.007,10133.955,0.0915,0.010000,0.000100000
p0.010,649000,29406812,2,98126.391,10132.573,0.1033,0.010000,0.000100000
p0.010,649000,29406812,3,94134.658,10104.309,0.1073,0.010000,0.000100000
p0.010,762000,40512199,1,238696.389,14388.104,0.0603,0.010000,0.000100000
p0.010,762000,40512199,2,197853.014,14915.448,0.0754,0.010000,0.000100000
p0.010,762000,40512199,3,185054.047,14096.983,0.0762,0.010000,0.000100000
p0.010,894000,55788477,1,342670.024,19924.599,0.0581,0.010000,0.000100000
p0.010,894000,55788477,2,514606.529,19798.917,0.0385,0.010000,0.000100000
p0.010,894000,55788477,3,448368.373,20717.981,0.0462,0.010000,0.000100000
p0.010,1050000,76952553,1,868027.280,37071.813,0.0427,0.010000,0.000100000
p0.010,1050000,76952553,2,519475.395,38502.183,0.0741,0.010000,0.000100000
p0.010,1050000,76952553,3,511793.094,35704.567,0.0698,0.010000,0.000100000
